optionsetname,optionsetuid,optionsetcode,optionname,optionuid,optioncode
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - AIDS (B24),h03gWFNDtfW,201
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Bite of Venomous Animal (X27),Jgk8SvuaZVN,202
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Diarrhea/Dysentery (A09),NtXnUUwk0AU,203
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Drowning (W74),reLr0Av0zz5,204
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Encephalitis (G04),TxgclpkegWn,205
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Falls (W19),bA1FdsvjGqV,206
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Fires (X09),VXy5pXPnChj,207
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Hemorrhagic fever (A99),jDJjSWHJ7TV,208
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Malaria (B54),L1hZLYd0Lvz,209
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Measles (B05),iz3lrTNfvgE,210
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Meningitis (G03),W7jyJj0Yz8u,211
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Childhood Cancer (C76),VOdoZvq79x1,212
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Childhood Cardiovascular Diseases (I99),eq695jk8lat,213
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Other Defined Causes of Child Deaths (R101),k28hLWeMYQD,214
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Digestive Diseases (K92),jTnuoaVes1o,215
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Other Infectious Diseases (B99),aH27y0qyTuT,216
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Pneumonia (J22),f5LWvaqueMd,217
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Poisonings (X49),UfW8SQtPg7h,218
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Road Traffic (V89),mntvu7IVyZP,219
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Sepsis (A41),W1YLbzKnJk9,220
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Violent Death (Y09),JkVXTbhGUIB,221
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Child - Undetermined (R99),yAFwKwmEYss,299
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Birth asphyxia (P21),Itx7vdBnDKV,301
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Congenital malformation (Q89),ufTF0TdwPyg,302
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Neonatal Meningitis/Sepsis (P36),ABCq0NgsExQ,303
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Neonatal Pneumonia (P23),pqeqcBuZYfH,304
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Preterm Delivery (P07),fb3DJL9tjZ7,305
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Stillbirth (P95),o8aAs4mz5hd,306
VA- Cause of Death,tMkHCKkuxpD,VA-CoD,Neonate - Undetermined (R99),nlhfXI4FSP6,399
